customer_id,age,gender,tenure,num_claims,claim_amount_total,policy_type,premium,payment_method,region,previous_renewals,satisfaction_score,has_complaint,churn
100132,44,F,2,0,7460.67,basic,3755.48,credit_card,west,4,7.4,0,0
100133,79,M,10,1,9940.31,standard,3416.62,bank_transfer,south,10,5.2,0,0
100134,20,F,11,1,1036.87,basic,2385.52,credit_card,north,13,5.5,0,0
100135,44,M,10,0,4239.68,standard,3346.54,credit_card,north,8,5.4,0,0
100136,26,M,1,4,4514.78,basic,2624.25,cash,north,3,5.2,0,0
100137,79,M,0,1,4925.63,premium,4843.47,credit_card,east,0,8.0,0,0
100138,54,F,1,0,227.89,standard,3452.04,credit_card,west,3,6.6,0,0
100139,68,M,13,0,572.88,standard,2945.78,credit_card,north,14,5.8,1,0
100140,61,F,12,1,6507.92,standard,3637.2,credit_card,south,14,5.4,0,0
100141,41,M,4,1,5107.64,standard,3079.13,credit_card,east,4,7.4,0,0
100142,76,F,1,0,1748.12,standard,2934.12,credit_card,west,2,3.8,0,0
100143,49,F,18,0,10576.6,standard,2864.82,bank_transfer,south,17,6.6,0,0
100144,69,M,16,0,11224.41,standard,2897.68,bank_transfer,south,14,5.7,0,0
100145,79,M,10,2,5593.51,standard,3573.91,cash,south,12,4.7,0,0
100146,75,M,15,2,8033.53,standard,3096.42,credit_card,west,15,7.1,1,1
100147,69,M,19,2,16661.77,standard,3259.65,credit_card,east,17,5.8,0,0
100148,29,F,17,0,5015.85,basic,3319.57,credit_card,north,18,5.7,0,0
100149,56,M,19,0,4786.82,standard,3567.73,credit_card,north,19,7.5,0,0
100150,19,M,7,0,2215.61,basic,3857.94,bank_transfer,south,9,7.7,0,0
100151,20,F,1,0,271.91,standard,3272.4,bank_transfer,east,3,8.7,0,0
100152,73,M,16,2,2786.31,standard,4404.64,credit_card,east,15,6.2,0,0
100153,76,F,10,0,4217.12,basic,3452.95,bank_transfer,south,8,6.2,0,0
100154,19,M,13,1,1094.08,basic,2790.09,credit_card,north,15,8.9,0,0
100155,19,F,15,4,12173.49,standard,3351.48,credit_card,east,16,7.2,0,0
100156,71,M,14,0,1127.32,standard,4233.95,credit_card,north,15,10.0,0,0
100157,18,M,14,2,491.57,standard,4009.41,bank_transfer,west,15,7.7,0,0
100158,36,M,2,0,8340.61,basic,3522.74,credit_card,north,3,8.0,0,0
100159,19,M,6,1,2141.86,standard,2471.37,credit_card,east,4,2.9,0,1
100160,70,M,11,0,5986.56,standard,3813.71,credit_card,north,10,9.4,0,0
100161,61,M,2,1,1207.73,premium,4835.01,bank_transfer,east,1,7.0,1,1
100162,49,F,18,0,1085.37,premium,5474.67,credit_card,south,18,7.2,0,0
100163,49,M,9,1,6758.76,premium,5185.61,credit_card,west,7,7.7,0,0
100164,72,F,7,0,1873.57,basic,3033.8,credit_card,east,7,6.0,0,0
100165,73,M,15,0,4300.48,basic,3288.13,credit_card,west,17,8.6,0,0
100166,34,F,15,1,9474.48,standard,3159.71,credit_card,west,15,4.1,0,0
100167,55,M,11,0,3782.42,standard,2436.5,credit_card,north,12,8.5,0,0
100168,41,M,4,0,691.01,standard,2585.95,bank_transfer,north,3,7.8,0,0
100169,28,M,19,2,1902.37,standard,3633.41,credit_card,west,18,6.0,0,0
100170,33,M,5,2,1211.93,standard,3633.17,bank_transfer,north,4,8.0,0,0
100171,76,M,5,2,604.16,standard,3161.81,bank_transfer,south,3,7.1,0,1
100172,20,M,7,0,6144.17,basic,3434.46,bank_transfer,south,8,10.0,0,0
100173,37,F,16,1,1159.59,basic,3216.87,bank_transfer,north,16,5.6,1,0
100174,76,F,11,0,531.99,basic,3117.13,credit_card,west,13,7.1,0,0
100175,53,M,13,2,5884.7,standard,3039.63,credit_card,west,11,6.3,0,0
100176,36,F,1,0,138.91,basic,2436.34,cash,south,3,8.6,0,0
100177,84,F,18,0,1428.03,basic,3562.7,bank_transfer,east,16,7.2,0,0
100178,36,F,5,2,10974.39,standard,3012.51,credit_card,west,6,4.0,0,0
100179,37,M,17,1,437.32,basic,3781.13,credit_card,east,15,2.6,0,0
100180,69,M,3,2,5887.78,premium,5290.29,credit_card,north,5,5.3,0,1
100181,50,M,4,2,2407.04,premium,5297.58,credit_card,west,2,7.2,0,0
100182,57,F,5,0,878.43,premium,5102.89,cash,east,6,8.0,0,0
100183,56,M,14,0,4648.43,standard,2755.21,credit_card,north,13,5.6,0,0
100184,18,M,5,0,2078.27,basic,2672.98,credit_card,west,3,6.6,1,0
100185,28,M,7,1,2976.45,standard,2996.48,credit_card,west,9,4.6,0,0
100186,74,M,8,2,6445.61,premium,5553.19,bank_transfer,south,10,5.6,0,0
100187,67,F,5,0,528.6,basic,3381.45,credit_card,north,3,8.5,0,0
100188,40,M,1,2,213.67,basic,4043.74,bank_transfer,west,2,4.7,0,0
100189,48,F,15,2,680.79,standard,2841.76,cash,north,15,7.8,0,0
100190,59,F,19,2,6505.9,standard,3737.32,bank_transfer,west,18,3.3,0,1
100191,24,M,0,1,6766.42,premium,4604.09,credit_card,south,1,6.0,0,1
100192,33,M,15,0,1731.28,basic,3686.62,credit_card,south,15,9.9,0,0
100193,77,F,0,1,4286.91,basic,3084.9,bank_transfer,east,2,2.6,0,0
100194,19,M,0,1,5981.69,standard,2380.64,bank_transfer,north,0,6.4,0,1
100195,18,M,6,1,11406.01,basic,3076.64,credit_card,north,8,7.5,0,0
100196,65,M,15,3,1710.83,standard,3859.41,credit_card,east,13,5.6,0,0
100197,29,F,16,0,1104.24,premium,5326.9,credit_card,west,15,9.0,0,0
100198,54,F,15,2,7636.87,standard,3453.62,credit_card,west,13,7.4,0,0
100199,49,M,15,0,5676.8,standard,3610.88,credit_card,north,17,6.0,0,0
100200,26,M,5,1,3805.88,standard,2914.28,credit_card,south,5,7.5,0,1
100201,36,M,17,1,6648.49,premium,5964.03,credit_card,north,17,6.5,0,0
100202,65,F,2,1,7632.13,standard,3182.21,credit_card,south,2,7.0,0,0
100203,20,M,7,4,7608.56,basic,3643.62,credit_card,south,5,4.0,0,0
100204,37,F,3,1,8924.55,premium,5208.05,credit_card,south,4,10.0,0,0
100205,41,M,3,1,10681.34,standard,3092.29,bank_transfer,west,5,5.9,0,0
100206,71,F,16,1,5039.68,basic,3064.9,credit_card,south,18,5.0,0,0
100207,50,M,4,0,4327.16,basic,3402.97,cash,north,5,8.5,0,0
100208,41,F,13,0,4218.28,basic,3098.99,bank_transfer,west,13,6.8,0,0
100209,53,M,14,0,656.03,premium,5120.39,credit_card,west,14,9.0,0,0
100210,55,F,11,0,2703.74,basic,2336.15,cash,west,13,6.6,0,0
100211,42,M,12,2,3785.12,standard,2879.15,credit_card,east,10,4.1,0,0
100212,35,M,17,0,3729.86,basic,3055.24,credit_card,south,15,8.7,0,0
100213,83,M,13,1,382.59,basic,3229.24,credit_card,east,12,5.0,0,0
100214,71,F,18,1,13587.1,standard,3594.38,bank_transfer,east,18,5.0,0,0
100215,52,F,6,1,4946.48,basic,2885.29,credit_card,west,8,6.2,0,0
100216,78,M,5,0,4058.07,standard,2866.06,cash,south,3,6.0,0,0
100217,58,F,4,1,2123.6,standard,3644.85,bank_transfer,west,3,5.1,0,0
100218,50,F,3,2,12786.36,standard,3425.13,credit_card,south,4,3.8,0,1
100219,50,F,17,1,1053.18,standard,3235.8,credit_card,east,15,7.8,0,0
100220,31,F,13,1,1631.36,standard,3063.34,credit_card,west,11,8.6,0,0
100221,38,F,15,2,8962.65,standard,2861.84,bank_transfer,west,17,5.0,0,0
100222,65,M,19,0,299.0,standard,3549.08,credit_card,east,19,8.9,0,0
100223,37,F,13,3,3840.74,standard,3857.29,credit_card,north,15,6.1,0,1
100224,25,F,4,0,3110.23,standard,2893.42,credit_card,south,5,8.0,0,0
100225,24,F,10,2,1459.03,standard,3250.17,credit_card,west,10,6.9,0,0
100226,84,M,11,0,341.45,basic,3380.65,credit_card,north,13,6.2,0,0
100227,34,M,17,2,12967.64,basic,3074.34,credit_card,south,15,4.9,0,0
100228,50,M,3,3,2384.15,standard,2620.19,bank_transfer,east,5,5.2,0,0
100229,65,F,12,1,2254.84,basic,2738.08,bank_transfer,east,12,6.3,0,0
100230,76,F,19,1,14183.76,basic,3867.22,credit_card,east,18,7.9,1,0
100231,39,M,12,1,14037.0,basic,3120.25,credit_card,west,11,7.0,0,0
100232,47,F,3,1,12996.2,standard,3509.27,credit_card,east,4,6.6,0,0
100233,55,F,6,0,4632.97,standard,3192.05,credit_card,north,8,7.8,0,0
100234,68,F,1,0,4332.14,premium,5789.53,credit_card,west,0,6.0,0,0
100235,71,M,17,0,4255.07,standard,2822.68,bank_transfer,west,18,7.8,0,1
100236,25,F,5,1,1345.8,standard,3498.6,credit_card,east,6,6.8,0,0
100237,44,M,15,0,3024.43,basic,3173.04,credit_card,north,16,10.0,0,0
100238,44,F,2,0,1869.36,standard,2435.35,bank_transfer,east,2,5.2,0,0
100239,38,M,14,1,2936.07,standard,3061.04,bank_transfer,north,13,7.2,0,0
100240,47,M,19,0,3133.08,standard,2286.71,credit_card,south,19,6.0,0,0
100241,45,F,9,1,1981.36,premium,4464.71,bank_transfer,south,8,7.2,0,0
100242,81,M,8,1,7703.79,basic,3423.85,bank_transfer,north,10,8.5,0,0
100243,78,M,10,0,6085.23,basic,3170.06,credit_card,north,10,9.8,1,1
100244,65,F,13,2,2238.98,premium,5488.1,cash,south,11,5.4,0,1
100245,36,M,11,0,6475.36,basic,3355.6,credit_card,south,13,6.6,0,0
100246,21,M,6,2,1109.36,standard,3109.91,credit_card,west,6,2.8,1,1
100247,52,M,10,1,3160.36,basic,3584.17,credit_card,west,8,9.0,0,0
100248,81,M,16,2,10325.66,standard,2758.31,credit_card,west,18,5.0,0,0
100249,66,M,8,1,267.15,basic,3545.86,credit_card,east,10,3.8,1,1
100250,34,M,12,2,7601.98,standard,3161.85,credit_card,west,10,6.3,0,0
100251,61,F,15,2,4319.68,premium,5324.05,bank_transfer,west,13,4.8,0,0
100252,47,M,2,0,6541.24,standard,3608.14,bank_transfer,south,3,5.6,0,0
100253,63,M,4,0,179.43,basic,2510.84,credit_card,west,4,5.8,0,0
100254,23,M,16,0,5838.4,standard,3557.54,credit_card,east,15,8.9,0,0
100255,54,M,0,1,33.55,standard,2582.88,bank_transfer,north,0,9.1,0,0
100256,41,F,8,1,10273.77,basic,3726.55,credit_card,south,7,7.2,0,0
100257,63,F,16,0,5544.32,basic,4050.44,bank_transfer,west,17,6.7,0,0
100258,70,M,12,2,6699.57,standard,3520.21,bank_transfer,east,11,4.1,0,0
100259,77,M,14,2,5970.67,premium,5680.2,bank_transfer,south,12,5.9,0,0
100260,80,M,7,1,644.72,basic,2307.54,credit_card,south,7,7.0,0,0
100261,49,F,7,1,2643.14,basic,2880.33,credit_card,west,6,7.5,0,0
100262,50,F,1,0,5966.13,premium,5020.5,credit_card,north,3,8.5,0,0
100263,84,M,9,1,6878.89,basic,3316.5,credit_card,north,8,7.2,0,0
100264,35,M,4,1,2474.58,standard,2893.98,bank_transfer,north,5,7.2,0,0
100265,42,F,15,2,7637.14,basic,3110.64,bank_transfer,west,16,6.6,0,0
100266,71,F,18,2,7346.82,premium,5056.08,bank_transfer,north,16,7.4,0,0
100267,75,F,0,1,4916.99,standard,3013.88,credit_card,south,0,4.5,0,0
100268,84,M,12,0,2738.36,standard,2880.35,cash,west,11,5.2,0,0
100269,63,M,3,0,3389.13,basic,2282.39,bank_transfer,east,1,8.5,0,0
100270,41,M,6,1,5688.13,basic,1993.0,credit_card,north,6,6.7,1,0
100271,49,F,0,1,136.75,premium,5202.61,credit_card,south,1,8.6,0,1
100272,64,F,1,1,5090.93,basic,3060.64,bank_transfer,west,0,7.9,0,0
100273,40,M,15,0,5257.0,basic,3294.92,credit_card,south,13,6.1,0,0
100274,83,M,13,0,4745.11,basic,3648.12,cash,north,12,8.9,0,0
100275,44,M,4,2,6535.36,basic,2450.19,bank_transfer,west,3,8.3,0,0
100276,19,M,13,3,13954.58,standard,3204.23,bank_transfer,west,15,5.3,0,0
100277,34,M,16,0,11615.49,premium,5890.39,credit_card,north,17,9.6,0,1
100278,50,F,11,0,731.45,basic,3064.7,credit_card,west,11,6.4,0,1
100279,26,M,19,0,4553.39,standard,3296.79,bank_transfer,south,20,7.9,0,0
100280,60,M,11,1,5228.72,basic,3611.65,credit_card,north,9,8.0,0,0
100281,65,F,2,1,2126.01,premium,4938.85,credit_card,south,3,6.2,0,0
100282,56,M,1,0,6877.24,standard,2295.73,credit_card,south,0,6.8,0,0
100283,59,M,14,3,821.94,standard,3221.68,credit_card,north,15,4.6,0,0
100284,43,M,10,1,831.89,basic,2932.5,bank_transfer,west,8,6.2,0,0
100285,67,F,9,1,4847.1,premium,4685.03,credit_card,south,7,9.3,0,0
100286,42,F,17,2,11909.12,basic,3883.14,credit_card,north,16,5.7,0,0
100287,41,M,1,2,4488.52,basic,3102.85,credit_card,east,3,6.1,0,0
100288,30,M,6,1,8701.62,standard,3508.44,credit_card,east,8,7.5,0,1
100289,77,M,6,0,9244.14,basic,2500.54,credit_card,south,5,5.9,0,0
100290,24,F,6,2,2136.22,premium,4990.45,credit_card,south,8,4.8,0,0
100291,74,F,13,0,5017.35,standard,3624.98,bank_transfer,north,13,6.2,0,0
100292,53,F,1,0,2187.06,basic,3209.15,credit_card,north,0,6.3,0,0
100293,62,M,1,1,3191.86,basic,3517.01,credit_card,west,3,5.8,1,0
100294,37,F,14,0,11086.89,basic,3097.83,bank_transfer,north,13,8.5,0,0
100295,82,F,10,0,7830.32,standard,3245.79,bank_transfer,west,9,4.3,0,0
100296,25,F,9,0,9045.08,premium,5258.19,credit_card,south,8,10.0,1,0
100297,33,F,2,2,3649.46,standard,3153.06,credit_card,west,4,7.9,0,0
100298,31,M,16,0,182.44,standard,3360.72,bank_transfer,south,18,3.9,0,0
100299,32,M,8,2,5266.47,basic,2989.55,credit_card,north,8,6.4,0,0
100300,83,M,14,0,4008.73,standard,3595.55,credit_card,north,13,5.1,0,0
100301,49,M,13,3,4694.92,premium,5522.92,credit_card,south,15,6.2,0,0
100302,80,F,18,1,9484.91,basic,3456.45,bank_transfer,west,18,4.9,1,1
100303,68,F,16,2,7312.11,standard,3036.42,credit_card,east,17,5.1,0,0
100304,42,F,19,1,12334.41,basic,3268.11,credit_card,south,19,6.1,0,0
100305,75,M,16,3,16549.81,standard,2704.76,credit_card,east,18,5.9,0,0
100306,80,M,15,0,671.9,basic,3113.23,bank_transfer,south,16,6.9,0,0
100307,79,F,19,0,2392.66,standard,3390.45,credit_card,west,17,7.1,1,0
100308,39,M,7,0,3030.73,standard,3522.34,credit_card,west,9,8.8,0,0
100309,75,M,6,0,2397.36,basic,2862.32,bank_transfer,east,6,8.1,0,0
100310,75,F,11,2,2855.72,basic,3035.61,bank_transfer,south,12,6.3,0,0
100311,66,F,0,2,2408.44,standard,3371.34,bank_transfer,north,0,5.5,0,0
100312,69,M,11,0,5482.45,basic,3716.26,credit_card,east,11,9.6,0,0
100313,59,F,5,0,9704.77,standard,3012.79,credit_card,west,7,8.2,1,0
100314,32,F,15,1,2282.94,standard,3558.55,bank_transfer,east,15,5.3,0,0
100315,71,F,17,2,2608.05,standard,3005.06,credit_card,east,16,6.8,0,0
100316,77,F,18,3,7621.89,basic,3431.82,bank_transfer,south,16,6.4,0,0
100317,25,M,2,0,893.99,basic,3026.34,credit_card,south,2,8.0,0,0
100318,70,F,2,0,8486.05,standard,2611.41,credit_card,west,4,7.1,1,0
100319,77,M,4,1,10027.55,basic,3203.95,bank_transfer,south,5,9.8,0,0
100320,22,M,2,0,2172.37,standard,2856.23,credit_card,east,0,7.6,0,1
100321,23,F,18,1,7436.82,basic,4056.68,bank_transfer,north,16,3.4,1,0
100322,64,M,4,1,4468.06,standard,2836.86,credit_card,south,3,3.2,0,1
100323,72,F,13,0,6743.72,standard,2585.28,credit_card,east,11,4.8,0,1
100324,57,F,15,0,5510.03,standard,3326.73,cash,north,13,7.7,0,0
100325,69,F,0,0,9089.64,standard,3283.79,credit_card,south,0,8.5,0,0
100326,33,F,16,0,4241.53,premium,5207.41,cash,east,18,9.7,0,0
100327,30,M,10,1,965.5,basic,3377.92,cash,west,8,6.3,0,0
100328,47,M,8,1,987.85,standard,3473.73,credit_card,west,8,6.3,0,0
100329,36,M,3,0,6449.32,standard,2921.78,bank_transfer,east,1,7.9,0,0
100330,34,M,1,1,12542.05,standard,4060.89,credit_card,south,0,6.3,0,0
100331,80,M,8,1,2818.35,basic,3060.27,bank_transfer,east,6,7.3,0,0
100332,36,F,4,0,81.06,basic,3834.0,bank_transfer,north,4,6.0,0,0
100333,75,F,3,0,1827.71,standard,3444.73,bank_transfer,north,2,7.4,0,0
100334,72,F,4,1,15236.13,basic,3750.58,credit_card,north,6,6.2,0,0
